_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
189800,22 114421 BLD,00,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,409,SPADINA,AVE, ,M5T,10513409,S1144,2022-02-15,2023-12-05,,Inspection,Proposal for interior alterations to the 2nd and 3rd floor of an existing 3 storey mixed use building to convert into rooming house.,Multi Use,Multi Use,0,0,"20,000",0,0,0,0,0,0,149.68,0,
190247,09 105425 BLD,00,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2009-01-29,2009-01-30,,Inspection,"Interior alterations to existing food kiosks in Rogers Centre (Units 109, 122, 134) ",Mixed Use Non Residential Building ,Same,0,0,2500000,0,0,0,0,0,0,958,0,
192346,19 253038 BLD,00,Building Additions/Alterations,Arena,Interior Alterations,40,BAY,ST, ,M5J,7929257,S1037,2019-11-25,2020-01-28,,Inspection,Proposal to replace removable east seating at Event Level.,Arena,Same,0,0,"100,000",0,0,0,0,0,0,210,0,
194056,20 208494 BLD,00,Building Additions/Alterations,Multiple Unit Building,Other(BA),142,PARLIAMENT,ST, ,M5A,8754447,S1335,2020-10-20,2020-10-30,,Permit Issued,Proposal for vehicle impact damage repairs to restore to pre-loss conditions.,Mixed Use,Same,0,0,5000,0,0,0,0,0,0,2,0,
194604,25 126298 BLD,00,Building Additions/Alterations,Multiple Unit Building,Garage Repair/Reconstruction,550,WELLINGTON,ST,W,   ,20054266,S1032,2025-03-07,2025-04-08,,Inspection,Localized concrete and elastomeric waterproofing repairs to the interior suspended concrete slabs at drive aisles and parking stalls,"Group C, D, E (Mixed-Use)","Group C, D, E (Mixed-Use)",,,"50,000",0,0,0,0,0,0,0,0,
195003,11 287986 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2011-10-05,2011-11-14,,Inspection,"HVAC - Proposal for interior alterations to private boxes on level 300 in the ""Roger's Centre"".",Stadium,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
195811,13 270752 BLD,00,Building Additions/Alterations,Office,Multiple Projects,250,DUNDAS,ST,W,M5T,796535,S1144,2013-11-27,2013-12-11,,Inspection,"Interior alteration to lobby, including  ceiling, relocation of sprinkler heads and finishes in existing office building. ",Office,Office,0,0,200000,0,0,0,0,0,0,24.64,0,
199035,14 252669 FSU,00,Fire/Security Upgrade,Multiple Use/Non Residential,Electromagnetic Locks,40,BAY,ST, ,M5J,7929257,S1037,2014-11-17,2014-12-01,,Inspection,Proposal to install 1 mag lock at bridge to south of building (in connection to 13 174086 DST).,See Bld 13 174086 Dst,See Bld 13 174086 Dst,,,2000,0,0,0,0,0,0,0,0,
199899,25 131566 TPS,00,Temporary Structures,Other,Temporary Structures,40,BAY,ST, ,M5J,7929257,S1037,2025-03-19,2025-04-02,,Inspection,"Proposal to erect 2 temporary structures for MLSE Playoffs from April 9, 2025 to July 3, 2025",Arena/Parking Lot,Arena/Parking Lot,,,,0,0,0,0,0,0,0,0,
200370,18 261085 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),40,BAY,ST, ,M5J,7929257,S1037,2018-11-26,2019-03-01,,Permit Issued,"HVAC - Installation of new aluminum rainscreen exterior cladding system over existing exterior cladding system, maintaining existing, including thermal and air barriers and integration of new signage into cladding and curtain wall.",Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
202705,17 228585 BLD,01,Building Additions/Alterations,Stadium,Garage Repair/Reconstruction,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2018-10-09,2018-11-01,,Revision Issued,"Rev01: Increase of scope area of slab repairs & water proofings repairsProposal for stair case enclosure ""Rogers Centre"" Phase 8",Stadium,Stadium,,,0,0,0,0,0,0,0,0,0,
203242,18 148988 BLD,03,Building Additions/Alterations,Arena,Interior Alterations,40,BAY,ST, ,M5J,7929257,S1037,2021-01-25,2021-02-09,,Revision Issued,"REV #3-ADD HOLD OPEN DEVICESProposal for interior alterations on ground floor, mezzanine, and level 2 of existing arena. 'SCOTIA CLUB' in 'AIR CANADA CENTRE'",Arena,Same,0,0,0,0,0,0,0,0,0,0,0,
204714,13 225597 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),40,BAY,ST, ,M5J,7929257,S1037,2013-08-23,2013-10-02,,Inspection,HVAC - Proposal for interior alterations to north west and south west areas of the ACC on the ground and second floor for a new path and elevator (87m2). Proposal also includes canopy (21m2),Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
205844,17 116775 BLD,00,Building Additions/Alterations,Arena,Interior Alterations,40,BAY,ST, ,M5J,7929257,S1037,2017-02-14,2017-07-27,,Inspection,"Alterations to the event level seating  in area  105, 116 and 122, consiting of 21 permanent seats and 40 removable seats at the Air Canada Centre ",Arena,Arena,0,0,"150,000",0,0,0,0,0,0,39,0,
206856,17 149370 BLD,00,Building Additions/Alterations,Multiple Unit Building,Canopy w/o Enclosure,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2017-04-26,2017-05-30,,Permit Issued,Proposal to construct exterior canopy over the existing entrance to the hotel.,Hotel,Hotel,,,50000,0,0,0,0,0,0,0,0,
207204,19 195641 PLB,00,Plumbing(PS),Multiple Use/Non Residential,Building Permit Related(PS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2019-07-25,2020-06-10,,Permit Issued,Plumbing  - Proposal for interior alterations to existing office space on Level 3,Office,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
210024,23 146987 BLD,00,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-05-17,2023-08-02,,Inspection,"Roger Centre Lower Bowl Renovation Project, Phase 2. Propose to enable baseball",Stadium,Stadium,0,0,96000000,0,0,0,0,0,0,0,0,
210767,24 237461 TPS,00,Temporary Structures,Park,Other(TS),40,BAY,ST, ,M5J,7929257,S1037,2024-11-12,2024-11-29,,Permit Issued,ERECT TEMPORARY STRUCTURE (WORKER PLATFORM) FOR TORONTO ARGOS CELEBRATION:  SET-UP 20 NOVEMBER 2024; TEAR DOWN 23 NOVEMBER 2024.  ,Park,Temp Structure,,,,0,0,0,0,0,0,0,0,
