intersection_id,desc,lat,lng
13466964,Bellwoods Pk,43.649152,-79.417167
30036888,Trinity Bellwoods Park Trl,43.649431,-79.417486
14040243,Ln W Crawford S Harrison,43.650269,-79.417788
30006514,Crawford St / Trinity Bellwoods Park Trl,43.649127,-79.416695
13466798,Dundas St W / Crawford St / Trinity Bellwoods Park Trl,43.650069,-79.41707
14040009,Ln N Dundas W Crawford / Ln W Crawford S Harrison,43.650518,-79.417886
14019383,Crawford St / Ln N Dundas W Montrose,43.65042,-79.41721
14019384,Crawford St / Ln N Dundas W Crawford,43.650636,-79.417296
14039662,Ln N Dundas W Montrose / Ln W Montrose S Cinder,43.650539,-79.416651
20031077,Shaw St / Ln N Harrison E Shaw,43.653389,-79.419682
14019722,Shaw St / Ln S College W Crawford,43.653868,-79.419868
20032923,Ln N Harrison W Crawford / Ln E Shaw N Harrison / Ln N Harrison E Shaw,43.653521,-79.419067
14039087,Ln S College W Crawford / Ln E Shaw N Harrison,43.653993,-79.419252
14025349,Richmond St W / Twilight Lane,43.649786,-79.387685
14039630,Ln E Dufferin N Alma / Ln N Alma E Dufferin,43.645227,-79.428766
14039843,Ln 2 E Dufferin N Peel / Ln N Peel E Dufferin,43.644383,-79.428443
13467747,Gladstone Ave / Peel Ave,43.644086,-79.427731
14018669,Waterloo Ave / Ln E Dufferin N Alma,43.64565,-79.428924
13467533,Gladstone Ave / Waterloo Ave,43.645755,-79.428377
14018633,Argyle St / Ln E Gladstone S Argyle / Antonio Lopes Lane,43.645341,-79.427577
14040239,Ln S Argyle E Northcote / Ln N Queen E Northcote,43.645207,-79.426289
14039409,Ln N Argyle E Northcote / Ln S Afton E Northcote,43.646511,-79.426794
